model_id,domain,position,model_type,train_date,train_rows,val_rows,val_rmse,val_mae,val_spearman,features_used,notes
nfl_qb_ridge_2026-07-29,nfl,QB,ridge,2026-07-29,337,58,87.05885253094152,62.81427910670746,0.748942584335783,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_qb_gbm_2026-07-29,nfl,QB,gbm,2026-07-29,337,58,93.27159915514572,69.1451551964916,0.6473383884980579,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_qb_lgbm_2026-07-29,nfl,QB,lgbm,2026-07-29,337,58,87.83348532527432,65.55226912798231,0.6914499285620292,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_rb_ridge_2026-07-29,nfl,RB,ridge,2026-07-29,622,97,67.37953020594401,48.5154301963524,0.7602286908300367,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_rb_gbm_2026-07-29,nfl,RB,gbm,2026-07-29,622,97,73.45931147804357,52.86497907656174,0.7175813466329444,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_rb_lgbm_2026-07-29,nfl,RB,lgbm,2026-07-29,622,97,69.79955440707002,50.965360752981276,0.7452501755539072,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_wr_ridge_2026-07-29,nfl,WR,ridge,2026-07-29,968,165,51.24480134967579,37.68060700381606,0.8127662929080588,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_wr_gbm_2026-07-29,nfl,WR,gbm,2026-07-29,968,165,56.789936178058895,40.038520353669654,0.7993344908141742,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_wr_lgbm_2026-07-29,nfl,WR,lgbm,2026-07-29,968,165,52.94723992824501,39.35961755970515,0.8054165390422653,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_te_ridge_2026-07-29,nfl,TE,ridge,2026-07-29,540,102,36.068394023368185,25.734717099642154,0.783869984814142,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
