full_name,position,sleeper_adp,espn_adp,spread
Luke McCaffrey,WR,999.0,169.91,829.09
Dyami Brown,WR,999.0,169.99,829.01
Isaac Guerendo,RB,999.0,170.1,828.9
Corey Kiner,RB,424.0,169.99,254.01
Kene Nwangwu,RB,423.0,170.1,252.9
Ronnie Rivers,RB,422.0,169.98,252.02
Sione Vaki,RB,421.0,169.99,251.01
DeeJay Dallas,RB,420.0,170.0,250.0
Malik Benson,WR,419.0,169.99,249.01
Jacob Cowing,WR,418.0,169.99,248.01
Kalel Mullings,RB,417.0,170.0,247.0
Raheim Sanders,RB,416.0,169.99,246.01
Michael Carter,RB,415.0,169.99,245.01
David Moore,WR,414.0,169.98,244.02
Britain Covey,WR,413.0,169.99,243.01
Rasheen Ali,RB,412.0,170.07,241.93
Roschon Johnson,RB,411.0,169.98,241.02
Dont'e Thornton,WR,409.0,169.99,239.01
Jacardia Wright,RB,408.0,169.99,238.01
Julius Chestnut,RB,407.0,169.99,237.01
Tutu Atwell,WR,406.0,170.09,235.91
Efton Chism,WR,405.0,169.96,235.04
Ameer Abdullah,RB,404.0,169.99,234.01
Tom Kennedy,WR,403.0,169.98,233.02
Kaden Wetjen,WR,402.0,169.95,232.05
Nikko Remigio,WR,401.0,169.99,231.01
Kaleb Johnson,RB,400.0,169.96,230.04
Tyler Johnson,WR,398.0,169.99,228.01
Derius Davis,WR,397.0,169.99,227.01
Devin Duvernay,WR,396.0,169.99,226.01
Malachi Corley,WR,395.0,169.99,225.01
Jordan Watkins,WR,394.0,170.0,224.0
Anthony Gould,WR,393.0,170.0,223.0
Skyy Moore,WR,392.0,169.98,222.02
LaJohntay Wester,WR,391.0,169.98,221.02
Trent Sherfield,WR,390.0,169.99,220.01
Kyle Williams,WR,389.0,169.97,219.03
Lan Larison,RB,388.0,169.99,218.01
Tyler Goodson,RB,387.0,169.99,217.01
Arian Smith,WR,386.0,169.99,216.01
Cody White,WR,385.0,169.99,215.01
Jalen Brooks,WR,384.0,169.99,214.01
Reggie Virgil,WR,382.0,169.99,212.01
Xavier Restrepo,WR,381.0,170.0,211.0
Jawhar Jordan,RB,380.0,170.14,209.86
Josh Cameron,WR,379.0,169.98,209.02
David Sills,WR,378.0,169.99,208.01
Dareke Young,WR,377.0,169.99,207.01
Darius Cooper,WR,376.0,169.97,206.03
Kameron Johnson,WR,375.0,169.99,205.01
Jeremy McNichols,RB,374.0,169.99,204.01
Brashard Smith,RB,373.0,170.08,202.92
Tylan Wallace,WR,372.0,169.99,202.01
Dylan Laube,RB,371.0,170.06,200.94
Jordan Whittington,WR,370.0,169.97,200.03
Jaleel McLaughlin,RB,369.0,169.98,199.02
Devin Singletary,RB,368.0,169.98,198.02
Tim Patrick,WR,367.0,169.98,197.02
Tyler Badie,RB,366.0,170.05,195.95
Kaytron Allen,RB,365.0,170.46,194.54
Konata Mumpfield,WR,364.0,169.98,194.02
KeAndre Lambert-Smith,WR,363.0,169.97,193.03
Will Shipley,RB,362.0,170.12,191.88
Elijah Sarratt,WR,361.0,169.99,191.01
Xavier Smith,WR,360.0,169.98,190.02
Odell Beckham,WR,359.0,169.44,189.56
Skyler Bell,WR,358.0,169.93,188.07
Ko Kieft,TE,357.0,169.99,187.01
Kimani Vidal,RB,356.0,170.98,185.02
Robert Tonyan,TE,355.0,169.99,185.01
Feleipe Franks,TE,354.0,170.0,184.0
Max Bredeson,TE,353.0,169.99,183.01
Cameron Latu,TE,352.0,169.99,182.01
Kylen Granson,TE,351.0,170.0,181.0
DJ Giddens,RB,350.0,170.17,179.83
Ben Yurosek,TE,349.0,170.0,179.0
Brenen Thompson,WR,347.0,169.98,177.02
Kevin Austin,WR,346.0,170.0,176.0
Audric Estime,RB,345.0,169.99,175.01
Tyler Conklin,TE,344.0,169.98,174.02
Ian Thomas,TE,343.0,169.99,173.01
Deion Burks,WR,342.0,170.0,172.0
Nate Adkins,TE,341.0,169.99,171.01
Chris Manhertz,TE,340.0,169.99,170.01
Seth McGowan,RB,339.0,170.21,168.79
Stone Smartt,TE,338.0,169.99,168.01
Ashton Dulin,WR,337.0,169.98,167.02
Drew Ogletree,TE,336.0,169.99,166.01
Najee Harris,RB,335.0,170.21,164.79
Blake Whiteheart,TE,334.0,169.99,164.01
Quintin Morris,TE,333.0,170.0,163.0
Eric Saubert,TE,332.0,169.99,162.01
Jordan James,RB,331.0,170.98,160.02
Kendre Miller,RB,330.0,170.16,159.84
Jalen Royals,WR,329.0,169.98,159.02
Riley Nowakowski,TE,328.0,169.99,158.01
Payne Durham,TE,327.0,169.99,157.01
Cyrus Allen,WR,326.0,169.72,156.28
Luke Farrell,TE,325.0,169.98,155.02
Jack Endries,TE,324.0,170.0,154.0
Tanner Hudson,TE,323.0,169.98,153.02
Kaelon Black,RB,322.0,170.45,151.55
Tai Felton,WR,321.0,169.98,151.02
Foster Moreau,TE,320.0,169.99,150.01
Charlie Woerner,TE,319.0,169.99,149.01
Davis Allen,TE,318.0,169.98,148.02
Jimmy Horn,WR,317.0,169.97,147.03
Seydou Traore,TE,316.0,170.0,146.0
Bryce Lance,WR,315.0,169.99,145.01
Durham Smythe,TE,314.0,169.98,144.02
Josh Cuevas,TE,313.0,169.99,143.01
Connor Heyward,TE,312.0,169.99,142.01
Jeremy Ruckert,TE,311.0,169.99,141.01
Bo Melton,WR,310.0,169.98,140.02
Roman Wilson,WR,309.0,169.98,139.02
Joshua Palmer,WR,308.0,169.95,138.05
Devontez Walker,WR,307.0,169.97,137.03
Treylon Burks,WR,306.0,169.99,136.01
Lil'Jordan Humphrey,WR,305.0,169.92,135.08
Jahdae Walker,WR,304.0,169.97,134.03
Demond Claiborne,RB,303.0,170.38,132.62
Mitchell Evans,TE,302.0,169.99,132.01
Isaiah Bond,WR,301.0,169.99,131.01
Zavion Thomas,WR,300.0,169.91,130.09
Nicholas Singleton,RB,299.0,170.41,128.59
Tip Reiman,TE,298.0,169.99,128.01
CJ Daniels,WR,297.0,169.97,127.03
Barion Brown,WR,296.0,169.98,126.02000000000001
Tahj Brooks,RB,295.0,170.14,124.86000000000001
Jaylin Lane,WR,294.0,169.99,124.00999999999999
Emanuel Wilson,RB,293.0,170.21,122.78999999999999
Ben Sinnott,TE,292.0,169.99,122.00999999999999
Brevyn Spann-Ford,TE,291.0,169.98,121.02000000000001
Travis Hunter,WR,240.0,119.47,120.53
Mo Alie-Cox,TE,290.0,169.97,120.03
Emari Demercado,RB,289.0,170.39,118.61000000000001
Tanner Koziol,TE,288.0,170.0,118.0
Mack Hollins,WR,287.0,170.06,116.94
Ollie Gordon,RB,286.0,170.67,115.33000000000001
LeQuint Allen,RB,285.0,170.34,114.66
Nate Boerkircher,TE,284.0,169.99,114.00999999999999
Ja'Tavion Sanders,TE,283.0,169.94,113.06
Luke Schoonmaker,TE,282.0,169.93,112.07
Jaylen Wright,RB,281.0,170.56,110.44
Zachariah Branch,WR,280.0,170.86,109.13999999999999
Isaiah Williams,WR,279.0,169.99,109.00999999999999
Colbie Young,WR,278.0,169.98,108.02000000000001
Tez Johnson,WR,277.0,169.98,107.02000000000001
Josh Whyle,TE,276.0,169.98,106.02000000000001
Max Klare,TE,275.0,169.99,105.00999999999999
Troy Franklin,WR,274.0,170.06,103.94
Nick Westbrook-Ikhine,WR,273.0,169.99,103.00999999999999
Cade Stover,TE,272.0,169.97,102.03
Alvin Kamara,RB,262.0,160.19,101.81
Jonnu Smith,TE,271.0,169.96,101.03999999999999
Demarcus Robinson,WR,270.0,169.98,100.02000000000001
Grant Calcaterra,TE,268.0,169.99,98.00999999999999
Elic Ayomanor,WR,267.0,170.0,97.0
Xavier Legette,WR,266.0,170.72,95.28
Sam Roush,TE,265.0,169.98,95.02000000000001
Antonio Williams,WR,264.0,170.56,93.44
Tyler Higbee,TE,263.0,169.87,93.13
Jalen Coker,WR,64.0,156.49,92.49000000000001
Samaje Perine,RB,261.0,171.16,89.84
Ted Hurst,WR,260.0,170.19,89.81
Drew Sample,TE,258.0,169.98,88.02000000000001
Braelon Allen,RB,259.0,171.0,88.0
Adam Trautman,TE,257.0,169.97,87.03
Jayden Reed,WR,49.0,135.98,86.97999999999999
Emmett Johnson,RB,256.0,169.94,86.06
John Bates,TE,255.0,169.98,85.02000000000001
Jake Tonges,TE,253.0,170.19,82.81
Chimere Dike,WR,252.0,169.84,82.16
Jalen Tolbert,WR,251.0,170.56,80.44
Josh Downs,WR,57.0,137.17,80.16999999999999
Jackson Hawes,TE,250.0,169.97,80.03
Juwan Johnson,TE,80.0,159.58,79.58000000000001
Tommy Tremble,TE,249.0,169.95,79.05000000000001
Jonah Coleman,RB,248.0,169.37,78.63
Isiah Pacheco,RB,237.0,158.68,78.32
Eli Raridon,TE,247.0,169.97,77.03
Oscar Delp,TE,246.0,169.99,76.00999999999999
Tank Bigsby,RB,245.0,169.65,75.35
John Metchie,WR,244.0,169.99,74.00999999999999
Tory Horton,WR,243.0,170.22,72.78
Josh Oliver,TE,242.0,169.95,72.05000000000001
Sean Tucker,RB,241.0,170.34,70.66
Joe Royer,TE,239.0,169.99,69.00999999999999
KaVontae Turpin,WR,238.0,169.79,68.21000000000001
Jadarian Price,RB,137.0,70.86,66.14
Ja'Kobi Lane,WR,234.0,168.54,65.46000000000001
Brock Wright,TE,235.0,169.92,65.08000000000001
Ray Davis,RB,236.0,171.03,64.97
Austin Hooper,TE,233.0,169.99,63.00999999999999
Eli Stowers,TE,232.0,169.97,62.03
Ty Johnson,RB,231.0,170.74,60.25999999999999
