full_name,position,adp_rank_stdev,adp_rank_mean,n_snapshots
Jordyn Tyson,WR,432.2894845604487,417.03846153846155,26
Jaydn Ott,RB,269.79758582841424,541.7083333333334,24
Devin Neal,RB,258.23250406144876,481.88461538461536,26
Isaac Guerendo,RB,240.83865223476155,557.4444444444445,27
Luke McCaffrey,WR,234.0475576870206,889.5185185185185,27
Dyami Brown,WR,229.34666280086074,891.7407407407408,27
Donovan Edwards,RB,200.8825361581572,548.28,25
Kirk Cousins,QB,156.97368534801583,286.25925925925924,27
Deshaun Watson,QB,150.78249839872606,290.85185185185185,27
Tua Tagovailoa,QB,82.5330979105489,203.59259259259258,27
Van Jefferson,WR,64.04936797862672,429.1923076923077,26
Theo Wease,WR,63.798563202212236,284.44,25
Elijah Sarratt,WR,57.960001926861786,266.85185185185185,27
Rasheen Ali,RB,50.83179905208739,345.8888888888889,27
Ja'Tavion Sanders,TE,50.281288539654355,270.85185185185185,27
Deion Burks,WR,48.42337619191129,289.85185185185185,27
Efton Chism,WR,48.303910879635886,348.037037037037,27
Christian Kirk,WR,47.951594182210286,343.65384615384613,26
Brandon Aiyuk,WR,45.81307613186475,351.2608695652174,23
Adam Randall,RB,43.98651891379727,363.5769230769231,26
Josh Whyle,TE,42.890173135194416,370.51851851851853,27
George Holani,RB,42.30596733080184,275.8888888888889,27
Jack Endries,TE,42.270193171657375,350.3333333333333,27
MarShawn Lloyd,RB,41.794675160777004,228.88888888888889,27
Dont'e Thornton,WR,40.42618400586868,353.74074074074076,27
Skyler Bell,WR,39.56994600426723,295.3703703703704,27
Mitchell Evans,TE,39.290538794300545,303.85185185185185,27
Caleb Douglas,WR,39.12508248901312,264.18518518518516,27
Antonio Williams,WR,39.041106249797494,238.14814814814815,27
Zachariah Branch,WR,38.97073194998971,212.22222222222223,27
Kaleb Johnson,RB,38.540613868734866,370.9259259259259,27
Max Klare,TE,38.50178521039596,296.81481481481484,27
Jawhar Jordan,RB,38.45536132732098,340.25925925925924,27
Colbie Young,WR,36.57155262685002,318.03846153846155,26
Alvin Kamara,RB,36.302307775919004,225.37037037037038,27
Troy Franklin,WR,36.019265183891044,210.8148148148148,27
Nick Westbrook-Ikhine,WR,35.740876547872425,260.44444444444446,27
Kayshon Boutte,WR,35.46757276652463,208.55555555555554,27
Ashton Dulin,WR,34.72677235143972,314.44444444444446,27
Tutu Atwell,WR,34.520079223043766,289.625,24
Jordan James,RB,34.481135682409246,283.44444444444446,27
Konata Mumpfield,WR,34.40251100621529,313.9259259259259,27
Greg Dortch,WR,33.82334196288803,327.53846153846155,26
Kendre Miller,RB,33.21624735455663,411.6296296296296,27
Lil'Jordan Humphrey,WR,33.13664190947894,367.037037037037,27
Ko Kieft,TE,32.90277484639547,414.14814814814815,27
Kimani Vidal,RB,32.57894203910654,312.18518518518516,27
Omar Cooper,WR,31.87033022605742,168.22222222222223,27
Robert Tonyan,TE,31.63881307434943,414.8333333333333,24
Feleipe Franks,TE,31.514343498696693,409.6666666666667,27
Charlie Kolar,TE,30.976187895288472,252.7037037037037,27
Xavier Legette,WR,30.70083566519503,224.1851851851852,27
Demarcus Robinson,WR,30.573902805555147,320.0740740740741,27
Jake Tonges,TE,29.643177102293688,267.8888888888889,27
Marlin Klein,TE,29.495810702587058,277.81481481481484,27
Alec Pierce,WR,29.18000915820511,128.37037037037038,27
Kyle Williams,WR,29.12048847466077,349.81481481481484,27
Aaron Jones,RB,28.900408617070077,136.1851851851852,27
Cameron Latu,TE,28.710957635005638,403.3703703703704,27
Jaylin Lane,WR,28.170016995909975,288.3703703703704,27
Zavion Thomas,WR,27.850332594800832,257.1111111111111,27
Daniel Bellinger,TE,27.45817850753336,232.4814814814815,27
Makai Lemon,WR,27.205768619060294,134.66666666666666,27
Tahj Brooks,RB,27.181934255265052,299.3703703703704,27
Brevin Jordan,TE,26.997008381271815,403.96153846153845,26
Mitch Tinsley,WR,26.73305307072526,326.2608695652174,23
Keon Coleman,WR,26.690534190694184,267.0,27
Chris Brooks,RB,26.4909811024824,303.18518518518516,27
Kylen Granson,TE,26.07877612355617,398.1111111111111,27
Kaelon Black,RB,25.975333466924905,302.8888888888889,27
Brevyn Spann-Ford,TE,25.417426778601794,326.74074074074076,27
Darius Slayton,WR,25.165152498741183,194.14814814814815,27
Barion Brown,WR,25.130995833172864,334.48148148148147,27
KeAndre Lambert-Smith,WR,25.102751804297206,331.0740740740741,27
Ben Yurosek,TE,24.81768278702463,394.0740740740741,27
Isaiah Williams,WR,24.64176382113346,326.7037037037037,27
Devontez Walker,WR,24.61139568819288,349.51851851851853,27
Jack Velling,TE,24.600577346824636,394.8333333333333,24
Kevin Coleman,WR,24.39157063308383,267.44444444444446,27
Trey Benson,RB,24.33134368904204,343.7142857142857,21
Tory Horton,WR,24.19949141232899,203.33333333333334,27
Tyler Conklin,TE,24.18200220761778,388.6666666666667,27
Ian Thomas,TE,23.8561094924122,386.962962962963,27
Tanner Koziol,TE,23.852168159853402,326.18518518518516,27
Demond Claiborne,RB,23.831136710679097,287.6666666666667,27
Devaughn Vele,WR,23.631670284934174,169.07407407407408,27
David Sills,WR,23.58496792982158,407.5925925925926,27
James Conner,RB,23.539198077968727,259.5769230769231,26
Luke Schoonmaker,TE,23.49183042817431,309.4074074074074,27
Nate Adkins,TE,23.42472942678205,383.77777777777777,27
Xavier Hutchinson,WR,23.226863315720898,250.55555555555554,27
Quintin Morris,TE,23.05276988628913,371.25925925925924,27
Chris Manhertz,TE,22.87087499587462,383.0,27
Dontayvion Wicks,WR,22.85629577184929,199.44444444444446,27
David Njoku,TE,22.814603959879598,227.8846153846154,26
Stone Smartt,TE,22.72579016143419,377.3333333333333,27
John Metchie,WR,22.685700906981605,226.88888888888889,27
Blake Whiteheart,TE,22.569235041763644,372.7037037037037,27
Tip Reiman,TE,22.559891798249346,335.22222222222223,27
Mo Alie-Cox,TE,22.346787629968585,328.9259259259259,27
Shane Zylstra,TE,21.942121819840253,402.1363636363636,22
Will Shipley,RB,21.913843209636358,338.7037037037037,27
Riley Nowakowski,TE,21.882553640883746,369.0,27
Eric Saubert,TE,21.868944013159705,371.5925925925926,27
Payne Durham,TE,21.773896392298827,364.77777777777777,27
Seydou Traore,TE,21.71047510637962,348.037037037037,27
Luke Farrell,TE,21.70141854698829,361.48148148148147,27
Fernando Mendoza,QB,21.61396854729914,197.8181818181818,11
Devin Culp,TE,21.511070495123068,369.61538461538464,26
Drew Ogletree,TE,21.471507656092566,374.8888888888889,27
Max Bredeson,TE,21.418898915892736,392.3333333333333,27
Michael Trigg,TE,21.381071012193445,322.82608695652175,23
TreVeyon Henderson,RB,21.25472965632668,83.92592592592592,27
Tom Kennedy,WR,21.251847581822766,451.22222222222223,27
Tanner Hudson,TE,21.087188424954025,360.14814814814815,27
Charlie Woerner,TE,20.95239482739023,354.18518518518516,27
Tyler Johnson,WR,20.868193057413517,445.4074074074074,27
Nikko Remigio,WR,20.862458274186338,449.3703703703704,27
Foster Moreau,TE,20.75216667368547,355.962962962963,27
Lucas Krull,TE,20.74549070558188,377.15384615384613,26
Nate Boerkircher,TE,20.73403686936734,315.14814814814815,27
Malik Davis,RB,20.68575076955837,305.85185185185185,27
Davis Allen,TE,20.625475907485285,352.44444444444446,27
Derius Davis,WR,20.593128054691505,444.0,27
Devin Duvernay,WR,20.57818112617194,442.3333333333333,27
Connor Heyward,TE,20.451178749664095,344.4074074074074,27
Isaac TeSlaa,WR,20.42922603412269,191.25925925925927,27
Mike Washington,RB,20.367422734158314,226.2962962962963,27
Josh Cameron,WR,20.276928913271007,364.0,27
Jordan Watkins,WR,20.130344488626363,440.0,27
LaJohntay Wester,WR,20.069182339399873,437.18518518518516,27
Skyy Moore,WR,20.04403983141956,438.0740740740741,27
Britain Covey,WR,19.96949240167679,457.6296296296296,27
David Moore,WR,19.96949240167679,458.6296296296296,27
Jacob Cowing,WR,19.854240937162064,460.037037037037,27
Noah Thomas,WR,19.72785862168274,396.8333333333333,24
Anthony Gould,WR,19.674922213380253,439.77777777777777,27
Josh Cuevas,TE,19.576935670743037,346.22222222222223,27
Anthony Richardson,QB,19.570385790780936,496.0,19
Emanuel Wilson,RB,19.39828464822205,282.2962962962963,27
Trent Sherfield,WR,19.36955051568019,434.77777777777777,27
Durham Smythe,TE,19.279323320394496,348.3333333333333,27
Jeremy Ruckert,TE,19.196761953925183,344.85185185185185,27
Gage Larvadain,WR,19.130201655618126,455.2692307692308,26
Arian Smith,WR,19.094904676781844,430.0,27
Adonai Mitchell,WR,19.00876990584432,213.11111111111111,27
Ricky White,WR,18.921375783448237,457.53846153846155,26
Malachi Fields,WR,18.86758476821438,206.7037037037037,27
Jahan Dotson,WR,18.629159509907687,206.74074074074073,27
Jaren Kanak,TE,18.328224396373198,330.93333333333334,15
Dallas Goedert,TE,18.07250355140052,126.33333333333333,27
Lance Mason,TE,18.009256878986793,318.6666666666667,3
Tez Johnson,WR,17.879543133929985,280.7037037037037,27
DeMario Douglas,WR,17.869501624810013,219.37037037037038,27
Trebor Pena,WR,17.841418260149528,447.95652173913044,23
Chase Roberts,WR,17.80615872493414,445.82608695652175,23
Cody White,WR,17.78504125122267,427.3333333333333,27
Raheim Sanders,RB,17.774305216405107,414.18518518518516,27
Chuba Hubbard,RB,17.761958773940997,82.44444444444444,27
Jalen Brooks,WR,17.712084821328855,425.44444444444446,27
Charlie Jones,WR,17.6080515180093,452.95652173913044,23
Roman Wilson,WR,17.51263280298847,324.0,27
Jacoby Brissett,QB,17.508809341540168,165.40740740740742,27
Chimere Dike,WR,17.489190800943156,244.77777777777777,27
Kaytron Allen,RB,17.387325507940773,351.6296296296296,27
Zavier Scott,RB,17.336488864641723,425.0769230769231,26
Andrei Iosivas,WR,17.20763098461157,206.77777777777777,27
Tyler Higbee,TE,16.94494184501837,283.14814814814815,27
Dante Pettis,WR,16.73869716208476,453.22727272727275,22
Joe Milton,QB,16.681922842034798,493.2105263157895,19
Brashard Smith,RB,16.60638671632333,371.81481481481484,27
John Bates,TE,16.55836607819404,277.1111111111111,27
Kenyon Sadiq,TE,16.551396253752074,169.44444444444446,27
Tyler Shough,QB,16.43167672515498,119.0,27
Chris Moore,WR,16.251873018928517,437.8636363636364,22
Reggie Virgil,WR,16.193540972584408,422.0,27
Grant Calcaterra,TE,16.15849207373218,292.5925925925926,27
Travis Etienne,RB,16.149144614959393,65.11111111111111,27
Ted Hurst,WR,16.060072413470806,261.18518518518516,27
Devin Singletary,RB,15.893968466630122,367.18518518518516,27
Eli Raridon,TE,15.867866075473854,268.5925925925926,27
Jackson Hawes,TE,15.783615147440317,273.25925925925924,27
Tyrell Shavers,WR,15.701228341393259,383.85714285714283,21
Adam Trautman,TE,15.686657549370562,279.9259259259259,27
Ronnie Rivers,RB,15.56385614922015,423.81481481481484,27
Drew Sample,TE,15.497817142499045,281.51851851851853,27
Sam Roush,TE,15.392305770191715,287.0,27
Tommy Tremble,TE,15.37480456411123,271.6666666666667,27
Matt Hibner,TE,15.348468932616639,295.037037037037,27
Jack Stoll,TE,15.290940634803189,388.57894736842104,19
Xavier Restrepo,WR,15.257616845198072,418.44444444444446,27
Oronde Gadsden,TE,15.245101029940916,159.4814814814815,27
Samaje Perine,RB,15.232761963512624,243.03703703703704,27
Bhayshul Tuten,RB,15.166596224124948,85.77777777777777,27
Dylan Laube,RB,15.134534385111824,409.14814814814815,27
Eli Stowers,TE,15.127661876382392,217.66666666666666,27
Ashton Jeanty,RB,14.952155415422604,32.48148148148148,27
Oscar Delp,TE,14.834797776553103,264.0740740740741,27
Brock Wright,TE,14.789115886960559,252.11111111111111,27
Jaylen Wright,RB,14.778227613486392,262.6296296296296,27
Austin Hooper,TE,14.4519047138275,250.37037037037038,27
Dean Connors,RB,14.349119596741152,425.5217391304348,23
George Kittle,TE,14.344658614593484,104.66666666666667,27
Deebo Samuel,WR,14.21246994699732,137.07407407407408,27
Isaiah Hodgins,WR,13.944772019171431,415.04,25
Phil Mafah,RB,13.91380056468563,379.0769230769231,26
Zach Charbonnet,RB,13.835294887185599,252.15384615384616,26
Jeremiyah Love,RB,13.818419517032979,29.22222222222222,27
Patrick Mahomes,QB,13.786322136910847,118.70370370370371,27
Jimmy Horn,WR,13.765434228064862,322.1111111111111,27
Justin Herbert,QB,13.743063518437035,87.11111111111111,27
Justin Fields,QB,13.737939952993194,482.7894736842105,19
Jonathon Brooks,RB,13.729063314268007,160.11111111111111,27
Theo Johnson,TE,13.684895077286964,214.74074074074073,27
Hunter Henry,TE,13.656030883356244,109.11111111111111,27
Justice Hill,RB,13.643611990530513,219.07407407407408,27
Jake Bobo,WR,13.616553393417506,461.4,20
Emmett Johnson,RB,13.599585212377539,254.22222222222223,27
Dareke Young,WR,13.55972333294809,412.4074074074074,27
Tyler Huntley,QB,13.51261052775717,484.57894736842104,19
Travis Hunter,WR,13.478166368648546,217.25925925925927,27
DJ Giddens,RB,13.415239877417829,346.74074074074076,27
Joe Royer,TE,13.399940468464948,254.59259259259258,27
Braelon Allen,RB,13.285276643659897,243.03703703703704,27
Ty Johnson,RB,13.243070541944467,222.92592592592592,27
Olamide Zaccheaus,WR,13.08334013827467,220.40740740740742,27
Emeka Egbuka,WR,13.07484481558259,72.51851851851852,27
Baker Mayfield,QB,12.998794596756305,86.74074074074075,27
Audric Estime,RB,12.956974603787389,365.037037037037,27
Darius Cooper,WR,12.838687971592291,409.7037037037037,27
Jeremy McNichols,RB,12.824700170878637,380.6296296296296,27
Isaiah Davis,RB,12.761118832067737,194.0,27
Kameron Johnson,WR,12.692618488813231,408.22222222222223,27
Michael Mayer,TE,12.676222216678337,203.92592592592592,27
Shedeur Sanders,QB,12.6361674281693,469.54545454545456,11
Seth McGowan,RB,12.616635335123533,354.55555555555554,27
Brock Purdy,QB,12.599801020452098,84.29629629629629,27
Tank Dell,WR,12.508282969982027,207.42857142857142,21
Marvin Harrison,WR,12.50025640762661,93.11111111111111,27
Marvin Mims,WR,12.457563292670164,201.96296296296296,27
Josh Oliver,TE,12.370353310461285,259.22222222222223,27
Rome Odunze,WR,12.325823539460794,76.81481481481481,27
Cyrus Allen,WR,12.316111792550828,313.0740740740741,27
Jaylin Noel,WR,12.244075257747273,214.92592592592592,27
Mason Taylor,TE,12.203871227379974,196.62962962962962,27
Tyquan Thornton,WR,12.1844794087207,191.66666666666666,27
Michael Penix,QB,12.172248615750373,470.8181818181818,11
Jauan Jennings,WR,12.171846456222083,130.33333333333334,27
Tre Tucker,WR,12.114835152375402,146.33333333333334,27
Tyrone Tracy,RB,12.068182366911156,176.44444444444446,27
Pat Bryant,WR,11.960166555929902,186.25925925925927,27
Tyler Badie,RB,11.898071380022145,371.77777777777777,27
Ollie Gordon,RB,11.851406686796304,276.0740740740741,27
Calvin Ridley,WR,11.770720349658198,175.37037037037038,27
Juwan Johnson,TE,11.724156279060798,101.92592592592592,27
Jalen Royals,WR,11.681431438648277,317.9259259259259,27
Cade Stover,TE,11.631938544455707,282.0740740740741,27
Calvin Austin,WR,11.612428034157416,261.09090909090907,22
Kalif Raymond,WR,11.603246426553554,242.40740740740742,27
LeQuint Allen,RB,11.567835355623545,273.25925925925924,27
Rachaad White,RB,11.534538744379159,117.25925925925925,27
Tyler Goodson,RB,11.524901814044318,409.85185185185185,27
Jonah Coleman,RB,11.333081947941022,243.85185185185185,27
Jerome Ford,RB,11.309663864679015,342.55555555555554,18
Tyler Allgeier,RB,11.293797304266521,194.37037037037038,27
Carson Beck,QB,11.245200996627183,473.3636363636364,11
Blake Corum,RB,11.117989324049852,135.92592592592592,27
Jaleel McLaughlin,RB,11.083726938579918,383.18518518518516,27
Trevor Etienne,RB,11.082349098384398,353.53846153846155,26
Kyle Monangai,RB,11.028453229115156,140.62962962962962,27
Ja'Kobi Lane,WR,10.994689212669497,242.03703703703704,27
Jalen Coker,WR,10.983670863651437,64.11111111111111,27
Luther Burden,WR,10.973160730175072,46.77777777777778,27
Mack Hollins,WR,10.95926152190069,290.48148148148147,27
Sione Vaki,RB,10.919806099110248,434.6296296296296,27
Cam Skattebo,RB,10.824684252844937,38.407407407407405,27
Carnell Tate,WR,10.811252974710696,70.96296296296296,27
Malik Washington,WR,10.796617598440317,162.5185185185185,27
Daniel Jones,QB,10.794638322992403,137.2962962962963,27
Najee Harris,RB,10.783585409580361,340.0,8
Dalton Schultz,TE,10.770461875093806,126.18518518518519,27
Erick All,TE,10.72574783717512,239.54166666666666,24
Christian Watson,WR,10.66746791862397,44.888888888888886,27
Tylan Wallace,WR,10.57708106590113,401.51851851851853,27
Le'Veon Moss,RB,10.519822558706359,464.1666666666667,24
Ty Chandler,RB,10.504173567571252,374.6363636363636,22
Jalen Tolbert,WR,10.351651808126801,230.8148148148148,27
Jordan Whittington,WR,10.314429910928881,398.18518518518516,27
Cooper Kupp,WR,10.187976825399224,173.22222222222223,27
Jalen Nailor,WR,10.1842009366444,137.44444444444446,27
Romeo Doubs,WR,10.00441497981361,104.37037037037037,27
Jakobi Meyers,WR,9.899494936611669,121.66666666666667,27
Ameer Abdullah,RB,9.868336129815127,427.5833333333333,24
Lan Larison,RB,9.72437174305371,409.2916666666667,24
Justin Joly,TE,9.654731801238501,226.57692307692307,26
Jayden Daniels,QB,9.605168361838292,69.48148148148148,27
Jack Bech,WR,9.602053436605644,204.25925925925927,27
Rico Dowdle,RB,9.452234092780882,72.03703703703704,27
Tim Patrick,WR,9.434749215195025,393.3333333333333,24
Elijah Higgins,TE,9.407822410479605,237.25925925925927,27
Jaydon Blue,RB,9.398199500231621,299.38461538461536,26
Kene Nwangwu,RB,9.37399567269982,453.77777777777777,27
Emari Demercado,RB,9.30826915403043,308.48148148148147,27
Rashee Rice,WR,9.29586496314923,41.51851851851852,27
Luke Musgrave,TE,9.267009785024037,244.82608695652175,23
Jamal Haynes,RB,9.21000952020782,421.2916666666667,24
Caleb Williams,QB,9.173695828655708,58.81481481481482,27
D'Andre Swift,RB,9.171366316637895,57.03703703703704,27
Nicholas Singleton,RB,9.086479107118588,297.55555555555554,27
Roschon Johnson,RB,9.064882870135476,437.5416666666667,24
Ray Davis,RB,9.063561559792488,225.92592592592592,27
Jarquez Hunter,RB,9.027406667822447,448.69565217391306,23
Jake Ferguson,TE,8.992874672305565,105.11111111111111,27
Ben Sinnott,TE,8.982889718365014,296.3333333333333,27
J.K. Dobbins,RB,8.961455925668126,149.66666666666666,27
Julius Chestnut,RB,8.90660627442548,433.4074074074074,27
JuJu Smith-Schuster,WR,8.87747282786739,367.6666666666667,15
Josh Downs,WR,8.836114704830573,52.666666666666664,27
Pat Freiermuth,TE,8.78956257480486,150.77777777777777,27
