position,age,rate_index,volume_index,combined_index,n_rate_obs,n_vol_obs
QB,20,14.325888014582098,31.674616928799168,4.537670150267632,,
QB,21,69.7001864189465,89.18366933915924,62.161183784650824,5.0,5.0
QB,22,90.77258446464849,97.66001284442002,88.64851764738772,41.0,41.0
QB,23,95.66785487624182,102.44112156564918,98.00322351301973,106.0,106.0
QB,24,98.56379550178988,102.14367342466244,100.67668139230038,149.0,149.0
QB,25,97.85030468339491,99.67979492240788,97.53698303935931,143.0,143.0
QB,26,94.24465283738397,100.16069033297585,94.39609488384029,135.0,135.0
QB,27,99.65767169296433,100.45318421881751,100.10930453391781,126.0,126.0
QB,28,93.93311554100866,95.3630062144742,89.57744281082132,115.0,115.0
QB,29,96.36298997713415,85.4298730178349,82.32277997365468,107.0,107.0
QB,30,90.85751593731172,84.65936369471066,76.91939486134842,95.0,95.0
QB,31,83.56832226430913,80.44982956301668,67.23057283030921,85.0,85.0
QB,32,77.81454751526205,72.88605097771735,56.715950770053986,73.0,73.0
QB,33,71.0572479515339,63.684675853687445,45.252578028485324,63.0,63.0
QB,34,55.96153819421884,48.498457278925926,27.14048269375304,50.0,50.0
QB,35,44.56518320183248,43.68721052317978,19.469285405425307,41.0,41.0
QB,36,46.17245538000628,33.55114071518605,15.491385476202398,36.0,36.0
QB,37,37.2105787921808,24.473879645204583,9.106872268882348,30.0,30.0
QB,38,4.128529989314799,0.0,0.0,22.0,22.0
QB,39,6.339343814630575,0.0,0.0,13.0,13.0
RB,20,32.422221945185406,88.57520270112231,28.718048808155732,,
RB,21,60.23423003246776,96.24754544990434,57.973967926899334,44.0,44.0
RB,22,89.43832150924675,99.58902093099213,89.07074872817178,178.0,178.0
RB,23,96.77321019072693,100.13062680808707,96.89962194628247,369.0,369.0
RB,24,99.9726189881059,99.4033607448905,99.37614309886182,445.0,445.0
RB,25,92.376439958215,98.93822040510382,91.39560576824715,415.0,415.0
RB,26,94.72880400646727,98.51256830015475,93.3197777467908,338.0,338.0
RB,27,75.36459455907566,93.05487753859836,70.13043117440901,267.0,267.0
RB,28,60.6202259718552,83.44884344142024,50.58687746508861,213.0,213.0
RB,29,36.52887151435887,70.21545352497624,25.648912801362936,146.0,146.0
RB,30,13.28085352783687,58.06847116495847,7.711988601272322,95.0,95.0
RB,31,0.0,49.88071836190219,0.0,61.0,61.0
RB,32,0.0,36.01472829619589,0.0,43.0,43.0
RB,33,0.0,15.959141531876893,0.0,25.0,25.0
RB,34,0.0,19.571965699588795,0.0,11.0,11.0
RB,35,0.0,14.383482866116672,0.0,4.0,4.0
RB,36,0.0,21.126737887643483,0.0,2.0,2.0
RB,37,0.0,0.0,0.0,1.0,1.0
RB,38,0.0,0.0,0.0,,
RB,39,0.0,0.0,0.0,,
WR,20,0.0,84.28572316934306,0.0,,
WR,21,51.70553593016648,91.73924855091371,47.43427012155742,55.0,55.0
WR,22,74.3599339553458,96.7069603935377,71.91123187885705,259.0,259.0
WR,23,84.587659594499,102.35130907590799,86.5765769116426,510.0,510.0
WR,24,96.27813439712656,102.5544312917298,98.73749318926043,576.0,576.0
WR,25,99.87022583797896,99.7671528652034,99.63768087860034,538.0,538.0
WR,26,93.91822692763208,97.47902298871959,91.5505700173843,458.0,458.0
WR,27,81.78553144055293,91.7197989389071,75.0135249983918,370.0,370.0
WR,28,66.61413078640015,81.17181343642557,54.07189796423326,301.0,301.0
WR,29,49.923137362870975,75.98181478256369,37.932505764701475,235.0,235.0
WR,30,32.52279608943667,68.14866523151925,22.163851430919827,171.0,171.0
WR,31,9.964465694716802,58.43631471426401,5.8228665329595835,124.0,124.0
WR,32,0.0,52.73223168941685,0.0,78.0,78.0
WR,33,0.0,47.49185361619645,0.0,61.0,61.0
WR,34,0.0,26.761568157399942,0.0,41.0,41.0
WR,35,0.0,31.72368390874958,0.0,27.0,27.0
WR,36,0.0,3.0804718792335333,0.0,17.0,17.0
WR,37,0.0,0.0,0.0,9.0,9.0
WR,38,0.0,0.0,0.0,2.0,2.0
WR,39,0.0,0.0,0.0,1.0,1.0
TE,20,0.0,66.85659103343933,0.0,,
TE,21,46.11170454302713,66.96320231611209,30.877874004555107,15.0,15.0
TE,22,61.920046370732464,77.61426701726961,48.05879012739746,80.0,80.0
TE,23,81.80500022454693,90.68611773958928,74.1857788205039,229.0,229.0
TE,24,99.97121486389177,99.34079916916109,99.31220378490926,321.0,321.0
TE,25,97.78971548842085,101.88320432572586,99.63129564061381,310.0,310.0
TE,26,97.4351124313224,98.84453796971093,96.30928670300901,271.0,271.0
TE,27,87.24413744915606,94.51840349063936,82.4617658561213,235.0,235.0
TE,28,87.74640987327332,91.05622897370098,79.89857189040993,193.0,193.0
TE,29,77.91287891206639,81.5890378595422,63.568368273025115,162.0,162.0
TE,30,52.5436543012108,69.40785943474367,36.46942571926204,125.0,125.0
TE,31,34.29481974630896,59.780164680021215,20.501499721059933,79.0,79.0
TE,32,20.782725791679216,52.63641054509031,10.939280870168641,54.0,54.0
TE,33,16.501266989638115,43.04685979687481,7.103277265737504,33.0,33.0
TE,34,0.0,20.884166627474386,0.0,24.0,24.0
TE,35,0.0,8.119661055313367,0.0,12.0,12.0
TE,36,0.0,14.277860359206986,0.0,6.0,6.0
TE,37,0.0,0.0,0.0,6.0,6.0
TE,38,0.0,0.0,0.0,2.0,2.0
TE,39,0.0,0.0,0.0,2.0,2.0
