full_name,position,team,adp_overall,adp_position,sleeper_proj_pts_week1,lag1_room40_pts,lag1_pts_per_game,lag1_games,lag1_target_share,lag1_snap_share_avg,projected_room40_pts,model_used,new_oc,coach_proe_signature,team_changed,player_type,replacement_value,vorp,vorp_rank,adp_rank,value_gap,injury_shortened_2025,lag1_pace_adj_pts,elite_mover_2026,is_breakout,tier
Drake Maye,QB,NE,101.0,13.0,20.16,359.96,21.1741176470588,17.0,0.0296296296296296,0.965714285714286,351.2096921595677,QB_ridge,1,-5.244402479179989,0,veteran,212.80908857304937,138.40060358651832,1.0,101.0,100.0,False,359.9599999999996,False,False,1
Josh Allen,QB,BUF,27.0,1.0,23.79,374.62,23.41375,16.0,0.0,0.93,301.03461138423575,QB_ridge,0,-1.7945790111540487,0,veteran,212.80908857304937,88.22552281118638,10.0,27.0,17.0,False,398.03375,False,False,2
Bo Nix,QB,DEN,105.0,15.0,19.96,315.84,18.5788235294118,17.0,0.0277777777777778,0.996666666666667,280.1838434147205,QB_ridge,0,1.6623237357923664,0,veteran,212.80908857304937,67.37475484167115,17.0,105.0,88.0,False,315.8400000000006,False,False,2
Caleb Williams,QB,CHI,92.0,11.0,20.39,325.18,19.1282352941176,17.0,0.0588235294117647,0.991578947368421,267.64228624942666,QB_ridge,1,-4.79011169771107,0,veteran,212.80908857304937,54.833197676377296,20.0,92.0,72.0,False,325.1799999999992,False,False,2
Trevor Lawrence,QB,JAX,93.0,12.0,20.38,350.18,20.5988235294118,17.0,0.0,0.968888888888889,262.67537670009426,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,49.866288127044896,25.0,93.0,68.0,False,350.1800000000006,False,False,2
Jalen Hurts,QB,PHI,50.0,3.0,21.9,305.06,19.06625,16.0,0.0,0.977647058823529,250.58885980755488,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,37.77977123450552,37.0,50.0,13.0,False,324.12625,False,False,3
Patrick Mahomes,QB,KC,65.0,5.0,21.36,296.68,21.1914285714286,14.0,0.0344827586206897,0.974285714285714,246.0084334194874,QB_ridge,0,5.300602599522808,0,veteran,212.80908857304937,33.19934484643804,41.0,65.0,24.0,False,360.2542857142862,False,False,3
Justin Herbert,QB,LAC,67.0,7.0,21.33,299.88,18.7425,16.0,0.0,0.97,240.29436637586488,QB_ridge,0,-5.848188465752081,0,veteran,212.80908857304937,27.48527780281552,45.0,67.0,22.0,False,318.6225,False,False,3
Matthew Stafford,QB,LAR,112.0,16.0,19.55,358.38,21.0811764705882,17.0,0.0,0.9875,238.83393006446263,QB_ridge,1,-3.204847043487389,0,veteran,212.80908857304937,26.02484149141327,49.0,112.0,63.0,False,358.3799999999994,False,False,3
Bryce Young,QB,CAR,147.0,25.0,17.87,229.04,14.315,16.0,0.0,0.969411764705882,227.3881239869773,QB_ridge,0,-0.9174934729566496,0,veteran,212.80908857304937,14.579035413927954,62.0,147.0,85.0,False,243.355,False,False,3
Jaxson Dart,QB,NYG,62.0,4.0,21.4,246.58,17.6128571428571,14.0,0.0,0.836428571428571,219.96318111922665,QB_ridge,0,-3.3189211254310966,0,veteran,212.80908857304937,7.1540925461772815,74.0,62.0,-12.0,False,299.41857142857066,False,True,4
C.J. Stroud,QB,HOU,127.0,19.0,18.93,216.54,15.4671428571429,14.0,0.0,0.923125,212.80908857304937,QB_ridge,0,-2.5050011258412974,0,veteran,212.80908857304937,0.0,81.0,127.0,46.0,False,262.9414285714293,False,False,4
Baker Mayfield,QB,TB,117.0,18.0,19.29,282.92,16.6423529411765,17.0,0.0,0.971176470588235,210.9402808983646,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,-1.8688076746847744,86.0,117.0,31.0,False,282.9200000000005,False,False,4
Sam Darnold,QB,SEA,137.0,21.0,18.62,249.42,14.6717647058824,17.0,0.0,0.962,209.45063439166896,QB_ridge,1,-2.673629810734993,0,veteran,212.80908857304937,-3.3584541813804094,93.0,137.0,44.0,False,249.4200000000008,False,False,4
Jordan Love,QB,GB,114.0,17.0,19.44,241.14,16.076,15.0,0.0,0.94625,207.27286275725447,QB_ridge,0,-4.223375364931628,0,veteran,212.80908857304937,-5.536225815794893,95.0,114.0,19.0,False,273.29200000000003,False,False,4
Jared Goff,QB,DET,84.0,10.0,20.71,305.06,17.9447058823529,17.0,0.0,0.985294117647059,204.9792427373109,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,-7.8298458357384675,96.0,84.0,-12.0,False,305.05999999999926,False,False,4
Lamar Jackson,QB,BAL,82.0,9.0,20.72,221.86,17.0661538461538,13.0,0.0,0.922307692307692,201.3917084603761,QB_ridge,0,0.4558089730608386,0,veteran,212.80908857304937,-11.417380112673271,99.0,82.0,-17.0,False,290.1246153846146,False,False,4
Dak Prescott,QB,DAL,66.0,6.0,21.34,323.78,19.0458823529412,17.0,0.0,0.950588235294118,194.09003437280427,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,-18.719054200245097,113.0,66.0,-47.0,False,323.7800000000004,False,False,4
Daniel Jones,QB,IND,184.0,29.0,16.17,234.44,18.0338461538462,13.0,0.0,0.914615384615385,192.3365476702555,QB_ridge,0,-5.206003754852174,0,veteran,212.80908857304937,-20.472540902793867,115.0,182.0,67.0,False,306.57538461538536,False,False,4
Cam Ward,QB,TEN,146.0,24.0,18.03,193.66,11.3917647058824,17.0,0.0,0.946470588235294,190.88926740016285,QB_ridge,0,-6.68407505908549,0,veteran,212.80908857304937,-21.919821172886515,121.0,146.0,25.0,False,193.6600000000008,False,True,4
Jacoby Brissett,QB,ARI,162.0,27.0,17.34,235.44,16.8171428571429,14.0,0.0,0.857142857142857,173.81513947419757,QB_ridge,0,-4.450844670721244,0,veteran,212.80908857304937,-38.9939490988518,151.0,162.0,11.0,False,285.89142857142934,False,False,5
Joe Burrow,QB,CIN,28.0,2.0,23.78,139.46,17.4325,8.0,0.0,0.8775,168.00172542119708,QB_ridge,0,10.0828731123803,0,veteran,212.80908857304937,-44.807363151852286,166.0,28.0,-138.0,True,296.3525,False,False,5
Jayden Daniels,QB,WAS,103.0,14.0,20.13,117.28,16.7542857142857,7.0,0.0,0.902857142857143,164.78243034529956,QB_ridge,0,1.05845290147838,0,veteran,212.80908857304937,-48.026658227749806,176.0,103.0,-73.0,True,284.8228571428569,False,False,5
Tyler Shough,QB,NO,130.0,20.0,18.76,163.96,14.9054545454545,11.0,0.0,0.834545454545455,149.30304054385442,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,-63.50604802919494,207.0,130.0,-77.0,True,253.3927272727265,False,True,5
Brock Purdy,QB,SF,72.0,8.0,21.29,187.38,20.82,9.0,0.0,0.968181818181818,139.00041760633198,QB_ridge,0,-2.673629810734993,0,veteran,212.80908857304937,-73.80867096671739,234.0,72.0,-162.0,True,353.94,False,False,5
Geno Smith,QB,NYJ,160.0,26.0,17.42,190.9,12.7266666666667,15.0,0.0,0.964666666666667,137.61370847613463,QB_ridge,1,-2.3156060854344385,1,veteran,212.80908857304937,-75.19538009691473,241.0,160.0,-81.0,False,216.3533333333339,False,False,5
Kyler Murray,QB,MIN,145.0,23.0,18.11,80.78,16.156,5.0,0.0,0.988,121.19801801091629,QB_ridge,0,2.6816146451914005,1,veteran,212.80908857304937,-91.61107056213308,297.0,145.0,-152.0,True,274.652,False,False,5
Malik Willis,QB,MIA,140.0,22.0,18.51,51.18,12.795,4.0,0.0,0.4225,69.55719627776233,QB_ridge,0,-0.5447121886359134,1,veteran,212.80908857304937,-143.25189229528704,432.0,140.0,-292.0,True,217.515,False,False,6
Michael Penix,QB,ATL,454.0,34.0,6.77,123.28,13.6977777777778,9.0,0.0,0.932222222222222,132.7028692462615,QB_ridge,0,-6.60259853246614,0,veteran,212.80908857304937,-80.10621932678785,254.0,434.0,180.0,True,232.86222222222256,False,True,99
Bijan Robinson,RB,ATL,3.0,2.0,20.15,370.8,21.8117647058824,17.0,0.235299172697466,0.781764705882353,281.1572581728157,RB_ridge,0,-6.60259853246614,0,veteran,156.1167596867138,125.04049848610192,2.0,3.0,1.0,False,370.8000000000008,False,False,1
Christian McCaffrey,RB,SF,4.0,3.0,18.92,416.6,24.5058823529412,17.0,0.257418746170935,0.817368421052632,265.8704279931022,RB_ridge,0,-2.673629810734993,0,veteran,156.1167596867138,109.75366830638842,4.0,4.0,0.0,False,416.6000000000004,False,False,1
Jahmyr Gibbs,RB,DET,1.0,1.0,20.55,366.9,21.5823529411765,17.0,0.203998562112551,0.67,252.0350689442548,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,95.91830925754098,6.0,1.0,-5.0,False,366.9000000000005,False,False,1
Jonathan Taylor,RB,IND,8.0,4.0,16.93,362.3,21.3117647058824,17.0,0.132257495714923,0.825882352941177,239.158296591235,RB_ridge,0,-5.206003754852174,0,veteran,156.1167596867138,83.0415369045212,12.0,8.0,-4.0,False,362.3000000000008,False,False,2
De'Von Achane,RB,MIA,12.0,5.0,15.89,322.8,20.175,16.0,0.228395972840469,0.75375,224.04319249845105,RB_ridge,0,-0.5447121886359134,0,veteran,156.1167596867138,67.92643281173724,16.0,12.0,-4.0,False,342.975,False,False,2
Ashton Jeanty,RB,LV,19.0,8.0,15.33,245.1,14.4176470588235,17.0,0.189566508593348,0.778823529411765,214.4441427813183,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,58.3273830946045,19.0,19.0,0.0,False,245.09999999999948,False,False,2
James Cook,RB,BUF,15.0,7.0,15.65,302.2,17.7764705882353,17.0,0.109399124513728,0.576842105263158,209.32023755035792,RB_ridge,0,-1.7945790111540487,0,veteran,156.1167596867138,53.20347786364411,21.0,15.0,-6.0,False,302.20000000000005,False,False,2
D'Andre Swift,RB,CHI,78.0,27.0,11.43,228.6,14.2875,16.0,0.124359186608794,0.576666666666667,195.69248817027088,RB_ridge,1,-4.79011169771107,0,veteran,156.1167596867138,39.57572848355707,33.0,78.0,45.0,False,242.8875,False,False,3
Saquon Barkley,RB,PHI,39.0,16.0,13.22,232.3,14.51875,16.0,0.16091123256185,0.787058823529412,194.43216036686283,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,38.31540068014903,35.0,39.0,4.0,False,246.81875,False,False,3
Breece Hall,RB,NYJ,36.0,15.0,13.4,207.66,12.97875,16.0,0.132905652686942,0.64375,189.33577924096525,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,33.219019554251446,40.0,36.0,-4.0,False,220.63875,False,False,3
Chase Brown,RB,CIN,23.0,10.0,14.83,282.6,16.6235294117647,17.0,0.175251192607101,,186.5285532164448,RB_ridge,0,10.0828731123803,0,veteran,156.1167596867138,30.411793529731,43.0,23.0,-20.0,False,282.5999999999999,False,False,3
Travis Etienne,RB,NO,73.0,25.0,11.77,253.9,14.9352941176471,17.0,0.11983100717263,0.597777777777778,184.400708122511,RB_ridge,1,-2.3156060854344385,1,veteran,156.1167596867138,28.283948435797186,44.0,73.0,29.0,False,253.9000000000007,False,False,3
Josh Jacobs,RB,GB,35.0,14.0,13.73,237.1,15.8066666666667,15.0,0.164497744117408,0.593125,181.2895835077907,RB_ridge,0,-4.223375364931628,0,veteran,156.1167596867138,25.17282382107689,50.0,35.0,-15.0,False,268.71333333333394,False,False,3
