full_name,position,team,adp_overall,adp_position,sleeper_proj_pts_week1,lag1_room40_pts,lag1_pts_per_game,lag1_games,lag1_target_share,lag1_snap_share_avg,projected_room40_pts,model_used,new_oc,coach_proe_signature,team_changed,player_type,replacement_value,vorp,vorp_rank,adp_rank,value_gap,injury_shortened_2025,lag1_pace_adj_pts,elite_mover_2026
Drake Maye,QB,NE,101.0,13.0,20.16,359.96,21.1741176470588,17.0,0.0296296296296296,0.965714285714286,351.2096921595677,QB_ridge,1,-5.244402479179989,0,veteran,212.80908857304937,138.40060358651832,1.0,101.0,100.0,False,359.9599999999996,False
Bijan Robinson,RB,ATL,3.0,2.0,20.15,370.8,21.8117647058824,17.0,0.235299172697466,0.781764705882353,281.1572581728157,RB_ridge,0,-6.60259853246614,0,veteran,156.1167596867138,125.04049848610191,2.0,3.0,1.0,False,370.8000000000008,False
Jaxon Smith-Njigba,WR,SEA,7.0,4.0,17.08,359.9,21.1705882352941,17.0,0.379847860678997,0.7695,249.86109749137137,WR_lgbm,1,-2.673629810734993,0,veteran,135.8305514016934,114.03054608967796,3.0,7.0,4.0,False,359.8999999999997,False
Christian McCaffrey,RB,SF,4.0,3.0,18.92,416.6,24.5058823529412,17.0,0.257418746170935,0.817368421052632,265.8704279931022,RB_ridge,0,-2.673629810734993,0,veteran,156.1167596867138,109.75366830638842,4.0,4.0,0.0,False,416.60000000000036,False
Ja'Marr Chase,WR,CIN,2.0,1.0,19.58,313.6,19.6,16.0,0.359179513624933,0.94375,232.06970152293025,WR_lgbm,0,10.0828731123803,0,veteran,135.8305514016934,96.23915012123683,5.0,2.0,-3.0,False,333.20000000000005,False
Jahmyr Gibbs,RB,DET,1.0,1.0,20.55,366.9,21.5823529411765,17.0,0.203998562112551,0.67,252.0350689442548,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,95.91830925754098,6.0,1.0,-5.0,False,366.9000000000005,False
Drake London,WR,ATL,16.0,8.0,14.62,201.9,16.825,12.0,0.338352812267884,0.906666666666667,229.3844772346978,WR_lgbm,0,-6.60259853246614,0,veteran,135.8305514016934,93.5539258330044,7.0,16.0,9.0,False,286.025,False
Puka Nacua,WR,LAR,5.0,2.0,17.52,375.0,23.4375,16.0,0.333042268689358,0.705263157894737,225.55747038363737,WR_lgbm,1,-3.204847043487389,0,veteran,135.8305514016934,89.72691898194395,8.0,5.0,-3.0,False,398.4375,False
Chris Olave,WR,NO,38.0,17.0,12.51,269.0,16.8125,16.0,0.306310562075214,0.843125,224.63743069124507,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,88.80687928955166,9.0,38.0,29.0,False,285.8125,False
Josh Allen,QB,BUF,27.0,1.0,23.79,374.62,23.41375,16.0,0.0,0.93,301.03461138423575,QB_ridge,0,-1.7945790111540487,0,veteran,212.80908857304937,88.22552281118638,10.0,27.0,17.0,False,398.03375,False
