"team","games_played","mean_pts","sd_pts","total_tds_credited","total_blocked_kicks_credited","sharpe_pts","low_sample_flag"
"SEA",17,11.5294117647059,8.825514482587,7,3,1.30637276585447,FALSE
"HOU",17,10.4705882352941,4.3318247751211,5,3,2.41713106574155,FALSE
"MIN",17,9.23529411764706,8.28801402451686,2,2,1.11429518462783,FALSE
"JAX",17,8.94117647058824,5.11701314532333,4,0,1.74734287692029,FALSE
"DEN",17,8.76470588235294,5.01908123769562,2,2,1.74627695135236,FALSE
"NE",17,8.70588235294118,4.75348169611435,5,0,1.83147488714591,FALSE
"CLE",17,8.64705882352941,7.93679072792168,4,2,1.08949059134305,FALSE
"PHI",17,8.64705882352941,4.96161738335631,3,4,1.74279033537247,FALSE
"PIT",17,8.52941176470588,6.43348318427529,3,0,1.32578441885936,FALSE
"LA",17,8.35294117647059,5.14710084016464,2,2,1.62284389520595,FALSE
"CHI",17,8,5.3619026473818,2,1,1.4920076931845,FALSE
"ATL",17,7.82352941176471,5.88679978975894,1,1,1.32899532703236,FALSE
"NO",17,7.52941176470588,5.75670964026786,3,2,1.30793669217535,FALSE
"BUF",17,7.29411764705882,4.48281030552199,3,1,1.62713056095053,FALSE
"LAC",17,7.29411764705882,5.66529683558541,0,0,1.28750846756031,FALSE
"TB",17,7.17647058823529,6.60714853508727,2,0,1.08616758804871,FALSE
"CAR",17,7,6.5287824286003,2,1,1.07217541349448,FALSE
"MIA",17,6.82352941176471,5.54791958888247,1,2,1.22992579514643,FALSE
"IND",17,6.64705882352941,5.8517217174797,1,2,1.13591505960954,FALSE
"KC",17,6.58823529411765,4.9504901718089,0,1,1.3308248406663,FALSE
"BAL",17,6.35294117647059,7.68880010527153,2,2,0.826259115790374,FALSE
"DET",17,5.94117647058824,5.10478437638768,1,0,1.1638447449552,FALSE
"GB",17,5.82352941176471,5.3646446074932,0,0,1.0855387146486,FALSE
"WAS",17,5.76470588235294,4.7503869811404,2,2,1.21352342561553,FALSE
"TEN",17,5.64705882352941,6.64211164155071,4,2,0.850190290118492,FALSE
"SF",17,5.05882352941176,5.09252624238813,1,1,0.993381926499301,FALSE
"LV",17,5,6.2549980015984,0,0,0.799360766977432,FALSE
"NYG",17,5,5.40832691319598,2,0,0.924500327042048,FALSE
"CIN",17,4.64705882352941,3.80692094202435,2,1,1.22068697887336,FALSE
"DAL",17,4.52941176470588,5.30468716159143,2,3,0.853850873148764,FALSE
"ARI",17,4.47058823529412,6.30592625094466,2,3,0.708950288567743,FALSE
"NYJ",17,3.52941176470588,6.18584722429781,4,1,0.570562388098184,FALSE
