"player_id","player_display_name","position","games_played","mean_pts","sd_pts","sharpe_pts","low_sample_flag"
"00-0032726","Ka'imi Fairbairn","K",15,12.7333333333333,5.68791534328536,2.23866435501104,FALSE
"00-0031492","Jason Myers","K",17,11.5294117647059,5.51268590456167,2.09143273611244,FALSE
"00-0039576","Spencer Shrader","K",5,11.2,6.26099033699941,1.78885438199983,FALSE
"00-0037692","Brandon Aubrey","K",17,10.7647058823529,6.28022105268503,1.71406480632567,FALSE
"00-0040530","Ben Sauls","K",3,10.6666666666667,4.04145188432738,2.63931551629543,FALSE
"00-0033862","Zane Gonzalez","K",9,10.4444444444444,3.77859468291821,2.76410817271838,FALSE
"00-0037224","Cameron Dicker","K",17,9.76470588235294,4.71075115778665,2.07285538023216,FALSE
"00-0034173","Eddy Pineiro","K",14,9.64285714285714,5.30032136699338,1.81929669451856,FALSE
"00-0039409","Cam Little","K",17,9.47058823529412,5.35160778480196,1.76967158583438,FALSE
"00-0039229","Charlie Smyth","K",6,9.33333333333333,5.8878405775519,1.58518784780243,FALSE
"00-0039404","Will Reichard","K",17,9.29411764705882,4.68727940657415,1.98283841027769,FALSE
"00-0035358","Chase McLaughlin","K",17,9,5.60133912560202,1.60675863363883,FALSE
"00-0039498","Harrison Mevis","K",9,9,4.41588043316392,2.03809866146027,FALSE
"00-0038562","Jake Moody","K",9,8.66666666666667,5.40832691319598,1.60246723353955,FALSE
"00-0031136","Chris Boswell","K",17,8.64705882352941,4.82106285572212,1.79360010070522,FALSE
"00-0031203","Cairo Santos","K",15,8.53333333333333,4.76395194090349,1.79122993665528,FALSE
"00-0039172","Jake Bates","K",17,8.52941176470588,3.53761302043524,2.41106410323436,FALSE
"00-0040200","Andy Borregales","K",17,8.41176470588235,4.1391246588109,2.03225691402561,FALSE
"00-0033303","Harrison Butker","K",17,8.23529411764706,3.91358869461115,2.10428196733773,FALSE
"00-0040074","Tyler Loop","K",17,8.11764705882353,3.85490520216089,2.10579680513885,FALSE
"00-0035192","Joey Slye","K",16,8,5.85377371160405,1.36663977702818,FALSE
"00-0025565","Nick Folk","K",16,7.875,3.15964132985586,2.49237149976109,FALSE
"00-0032569","Wil Lutz","K",17,7.70588235294118,3.96491970098943,1.94351536325394,FALSE
"00-0036854","Evan McPherson","K",17,7.70588235294118,6.21253476733081,1.24037653575208,FALSE
"00-0029822","Brandon McManus","K",14,7.64285714285714,4.14370965082372,1.84444803977466,FALSE
"00-0038905","Blake Grupe","K",16,7.625,5.08428952755447,1.49971789739276,FALSE
"00-0026858","Graham Gano","K",5,7.6,3.84707681233427,1.97552593065814,FALSE
"00-0036816","Riley Patterson","K",17,7.58823529411765,3.72590296990897,2.03661645389092,FALSE
"00-0038567","Chad Ryland","K",17,7.23529411764706,4.22092128220703,1.71415045055374,FALSE
"00-0035269","Matt Gay","K",12,7.08333333333333,4.75697255392417,1.48904229592203,FALSE
"00-0038152","Lucas Havrisik","K",3,7,7,1,FALSE
"00-0023853","Matt Prater","K",15,6.86666666666667,3.70070778301099,1.85550091206601,FALSE
"00-0039750","Joshua Karty","K",8,6.5,5.0709255283711,1.28181728633825,FALSE
"00-0037542","John Parker Romo","K",7,6.42857142857143,6.21442254912294,1.03445998043353,FALSE
"00-0033787","Jake Elliott","K",17,6.35294117647059,3.98342152663053,1.59484531928118,FALSE
"00-0038428","Andre Szmyt","K",17,6.35294117647059,3.46304014686858,1.83449827522652,FALSE
"00-0034084","Mike Badgley","K",9,6.22222222222222,3.66666666666667,1.6969696969697,FALSE
"00-0040279","Ryan Fitzgerald","K",17,6.11764705882353,4.82030021032374,1.26914233385739,FALSE
"00-0034161","Daniel Carlson","K",17,5.82352941176471,4.74651574996922,1.22690615991372,FALSE
"00-0035189","Matthew Wright","K",4,5.5,4.65474668125631,1.18158954216506,FALSE
"00-0033702","Younghoe Koo","K",6,4.83333333333333,4.26223728418147,1.13398973615837,FALSE
"00-0039934","Jude McAtamney","K",4,3,2.94392028877595,1.01904933073014,FALSE
