"name","avg_sep","avg_cushion","avg_yac_oe","avg_air_yds","air_yds_share","sz_targets","rec_epa"
"Adam Thielen",2.87897030983915,6.45409785353535,-0.0560138220089487,11.1321535225527,27.6948607049543,62,40.4290831937767
"Keenan Allen",2.905600259216,6.23487384112937,-0.247320448763761,9.74424029650004,34.5734115959015,121,21.2708398955505
"DeAndre Hopkins",2.60229755479945,5.83162491520825,-0.24874753208255,11.0272076719577,30.0142173661897,88,13.9954121424075
"Brandin Cooks",2.2881758557241,6.31471540880503,-0.83864859249294,13.4567666288738,30.8194264267376,54,-11.1227662865669
"Davante Adams",3.27480656526673,5.61681319148688,1.08679467580695,8.32496790561684,37.4680681050244,141,20.7320247390024
"Mike Evans",2.37928054244459,6.68827829662692,0.839125702817564,11.8070530580531,44.1434686357722,117,48.630167432345
"Amari Cooper",2.68589846697099,6.06264373897707,-0.434692783202254,12.5246299927378,40.7933107919137,93,6.68901419695255
"Stefon Diggs",2.99367747910197,6.83347377664186,0.134963715711603,8.65096974206349,26.8739663973335,64,18.0810690174737
"Tyler Lockett",2.50087219917047,6.2672477324263,-1.49312166169123,11.5233245235031,30.5678637468071,74,12.3036886070825
"Sterling Shepard",3.02090452255677,7.48023809523809,-0.0883774907664251,9.00696078431373,20.3916959511523,51,15.6184279738549
"Demarcus Robinson",2.160166321119,3.83009457671958,0.305872107136614,14.7118151455026,28.9270481096321,73,13.6386965425013
"Tyler Boyd",2.62813779696164,6.17492592592593,-0.159684017928396,6.97592397660819,13.5301307343629,57,2.87887368983872
"Tyreek Hill",3.14237078129053,5.84120130882762,-0.232712026484905,11.7718275712995,47.3450279306476,122,27.0866979962611
"Curtis Samuel",4.12181422298308,6.36696332046332,0.608788589773556,4.13130434782609,10.0220023656221,54,1.4019195032458
"Mack Hollins",3.20087005466457,6.06837333333333,0.0249854852062386,13.83044,25.0107675741688,58,32.5642135242736
"David Moore",2.3090487626409,6.11164021164021,-0.196892301160391,11.7185157894737,24.2008547322541,57,8.29301634245876
"Noah Brown",2.28629668318241,6.72888965201465,-0.276461961312326,12.5191984126984,31.8151820716868,56,12.031629731719
"Cooper Kupp",3.3214440998275,7.14239870670265,0.654505105314237,7.99796824675325,27.4679369248205,108,11.6390232507575
"Chris Godwin",3.28630154097632,6.30878811612364,1.98315247211545,5.7152199217673,26.5067218640068,62,35.5114577961204
"Courtland Sutton",2.48140756630415,6.10474749136098,-0.0849790899157666,13.2401924753487,50.7740637673369,144,36.3227987425869
"Ray-Ray McCloud",3.12238542831876,8.28190504670768,1.88820050663613,7.45439692491417,18.0584729759947,87,5.62533058408268
"Allen Lazard",2.53039488392528,5.391139898357,0.310951756686431,9.74891798941799,27.3128047652399,61,29.9262321103569
"Christian Kirk",2.7281022489128,6.63741994671995,1.10730514468106,12.8715808510638,27.3195150010851,47,8.42042643717785
"D.J. Moore",3.4436736229439,5.77798449612403,0.724083231123307,7.4205,24.960116479102,140,16.4929151971205
"DJ Moore",3.4966497327165,5.91906696428571,0.480491283177732,7.09594357638889,26.2618489329027,140,16.4929151971205
"Calvin Ridley",2.65173535786836,5.9519255089717,0.808750492658238,16.5951641865079,47.5788072535192,120,28.1781591182862
"Jakobi Meyers",2.7194461416763,6.28988622895623,0.306806103293291,9.59584802622012,33.8071143688243,129,32.4013058252465
"Olamide Zaccheaus",3.8076128736902,7.50505952380952,0.972285828633282,7.94363442460318,17.7292905770712,74,27.3115067389345
"Diontae Johnson",2.66991273935313,5.09573451944881,-0.712962343462684,9.88070917000555,37.9436940560774,68,-18.0519839626935
"Lil'Jordan Humphrey",3.29838461463171,6.49643333333333,1.02247268478791,6.42940555555556,11.4858434647323,45,-8.64249681328704
"Greg Dortch",3.45034872636338,6.8718005952381,2.21974604241512,6.96767083333333,16.7518155210436,50,7.38093510685943
"Darius Slayton",2.1680358718069,5.18118404990455,1.0737415382509,14.6441736218175,39.7798335980763,71,14.5169287520803
"DK Metcalf",2.45081871226537,5.43588781135008,0.545397411635942,14.4468303363303,43.4404274084506,108,23.1695249224438
"Terry McLaurin",2.85321829316211,6.70350555555556,0.997859066415717,13.6920647130647,40.5511666368937,140,86.0492180279884
"A.J. Brown",2.09319861835837,5.55456907563609,2.48409550353528,12.5423355285179,52.2075728731746,120,74.4025781013886
"Deebo Samuel",3.13978655447366,5.64833333333333,2.26664871118155,6.44074074074074,11.8591361038749,81,11.0711857427697
"Deebo Samuel Sr.",3.14093237001274,5.54098531746032,2.67158172271565,6.39015396825397,17.9709418026818,81,11.0711857427697
"Nick Westbrook-Ikhine",2.51042268196389,6.63296630347054,4.51064068823311,13.1693214285714,28.6966105855202,60,12.6874892773248
"Michael Pittman",2.86489527150261,6.71139424912229,0.656956613890047,10.7824102173602,24.4723077090615,111,1.2384420777228
"Jauan Jennings",2.54546910114326,5.37962678129356,0.669177460887875,10.370366850736,34.415685713128,113,43.23980611465
"Brandon Aiyuk",2.26481711268028,4.96113019250253,0.689860664253017,12.7216160081054,26.0264850569901,47,12.8143973824765
"Darnell Mooney",3.20828558456669,6.41359503195218,-0.172990205395021,12.8257623994566,36.0056218835941,106,43.9069885450319
"Justin Jefferson",3.06426906200475,5.78088393572917,0.708102062768155,11.280982956858,38.178861061793,162,60.5577936455202
"CeeDee Lamb",2.79810025389141,5.65342286344171,2.88736607226251,8.08031549810376,30.0527775018442,152,19.7840450638385
"Jerry Jeudy",2.68305339408446,5.90147165993975,0.065629514373668,11.3187776910191,34.8835005056026,145,38.7985588668923
"Tee Higgins",2.35718907421482,6.32539030470823,1.14125470592103,10.5426917236492,35.6280299634833,109,56.4012959927986
"Rashod Bateman",3.75450562175746,5.54787946428571,0.982762179509574,15.8230243055556,32.030256089381,79,52.009102843983
"Nico Collins",2.96290678050606,5.27334954562633,0.506908127894288,11.1824346741222,35.5112585387203,115,58.8150609267903
"Jaylen Waddle",3.46715963161452,4.82098639240506,0.101853238728939,9.21930455153949,30.9096099068705,83,40.1558419702437
"Tutu Atwell",3.29334427165263,7.7918623294347,-0.582064135031606,10.8726493428913,29.5227743713335,63,20.1724643951579
"Ja'Marr Chase",3.20388131201399,5.63887956950457,2.86558556704266,8.67346711496564,32.4590763284673,175,77.0104412978267
"DeVonta Smith",2.88498783626425,6.62589790764791,0.283009340323937,9.83720843669439,37.9045118430235,106,71.9788366762303
"Amon-Ra St. Brown",3.07877569488408,6.73634574117289,0.382760612803493,7.90798681342298,34.8730128495378,151,106.900665692604
"Elijah Moore",3.11775074638412,6.30206362723298,-0.548313084032997,9.11100872656755,21.3601623881867,102,-36.9109757365239
"Josh Palmer",2.37135418182209,6.687,-0.0845375148622815,16.5981467236467,36.1534628018823,65,27.3257090300519
"Drake London",2.50702519593023,6.68256979131979,0.764482045822661,10.3431872258543,38.9608478048517,158,36.7307283147638
"Chris Olave",3.18755475414874,7.64279761904762,0.207395700772434,11.6010714285714,47.879830951275,44,1.48773663933453
"Jameson Williams",3.28815894524157,6.54506265031265,1.2447835614217,11.4549602827728,33.7496189607521,95,34.0010573378304
"George Pickens",2.38498237782524,5.79460862846489,1.17627540935987,13.6485209342784,48.4848751496264,108,36.3404410319544
"Khalil Shakir",4.15695269904417,6.7620452122177,1.08909772394859,5.717810430839,16.2760378745128,120,52.5933799226894
"Rashid Shaheed",2.72196947435271,6.18768571428572,0.0262781572427138,18.3126412698413,48.690476180523,41,-5.93385909062968
"Alec Pierce",2.69631414657041,6.28879652634,0.0801167669505641,18.4497096848401,36.0980533983822,69,40.3030859059619
"Jalen Tolbert",2.70266565007433,6.53302902902903,-0.0956269622431683,12.7190210970464,25.5324952514397,79,25.2190162823434
"Garrett Wilson",3.20162939652824,5.26488126453709,0.490874837504887,8.92490152473667,35.4856880305028,153,22.7675724840153
